One-Hot-Encoding,Inhibition Value
000000111000000000000010000,0.75
011000000001010001000000000,0.0
011000000001010001000000000,0.0
011000110001010001000010000,0.52
100000100000010010000010000,0.9167
011000111001010001000010000,0.97
011000111111010001000010000,0.5
011000111001010001000010000,0.4
011000111111010001000010000,0.4
011000111111010001000010000,0.02
011000111001000001000010001,0.72
011000111111010001000010001,0.38
011000111001000001000010001,0.52
011000111001000001000010001,0.7787
011000111001010001000010001,0.76
011000000000010010000000000,0.75
011000111001010001000010001,0.94
011000111111010001000000000,0.1
011000100001010001000010000,0.0344
011000100001010001000010000,0.26
011000100001010001000010000,0.19
011000100001010001000010000,0.11
000000110000000000000010000,0.1
011000100001010001000010000,0.0344
011000100001010001000010000,0.0344
000000110100010101000000000,0.8
011000111111010001000000000,0.5
011000111001010001000010001,0.9
011000111001010001000010001,0.5
011000111001010001000010000,0.5
111000100001010010000010100,0.87
011000111100010011000010010,0.8
011000111000010010100010100,0.77
011000111111010001000000000,0.8
000000110000000000000010011,0.39
011000100001010001000010000,0.33
011000111001000001000010001,0.362
000000000001000001011100010,0.68
011000111111010001000010000,0.98
011000000001010001000000000,0.5
011000111001000101001110010,0.7477
011000111001010001000010000,0.3407
011000111001000001000010001,0.4247
011000111001000001000010001,0.469
011000111001000001000010001,0.5575
011000111001000001000010001,0.6017
011000110001010001000010000,0.9115
011000100001010001000000000,0.0575
011000110000010001000010000,0.0486
011000111001011011100010000,0.8
000000110001000001000010001,0.82
100000100000010000000000000,0.6753
100000100000010000000000000,0.5454
011000000001010001000000000,0.3506
011000000001010001000000000,0.6753
011000100000010001000010000,0.1818
011000100000010001000010000,0.0909
000000100000010001000010000,0.1515
011000100001010001000010001,0.103
011000100001010001000010000,0.0303
000000100000010001000010000,0.1818
011000100001010001000010000,0.2121
011000110001010001000000000,0.6061
011000100001010001000010000,0.6667
011000100000010001000010000,0.7576
011000100001010001000010000,0.8788
011000111101011011000010010,0.8704
011000111001010011000000000,0.8459
011111000001100011001101000,0.8856
011000110001010001000010001,0.79
011000110001010001000010001,0.4
011000110001000001000010001,0.18
011000111101000001000010001,0.38
011000110001000001000010001,0.36
011000110001010001000010000,0.3
011000110001010001000010001,0.36
011000110001010001000010000,0.92
011000110001010011000010101,0.5
